Date,Category,Description,Amount,Payment Method,Type,Merchant,Note
2024-05-07,Food,Dinner,418.79,Debit Card,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-01-21,Utilities,Electricity bill,1763.68,Debit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-04-10,Rent,Office rent,14785.57,Cash,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-03-03,Rent,Office rent,8065.5,Credit Card,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-06-09,Bills,Insurance,731.85,Debit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-01-14,Travel,Fuel,563.39,Debit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-04-06,Food,Grocery store,538.0,Debit Card,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-02-11,Bills,Electricity,1020.31,Wallet,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-04-06,Food,Dinner,381.28,UPI,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-05-28,Utilities,Internet bill,689.06,Wallet,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-04-08,Travel,Bus ticket,554.56,UPI,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-05-27,Food,Dinner,616.19,Credit Card,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-06-24,Bills,Electricity,1638.08,Cash,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-04-08,Utilities,Mobile recharge,1056.97,UPI,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-02-11,Food,Restaurant,571.07,Wallet,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-02-25,Food,Coffee shop,420.47,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-03-14,Miscellaneous,Donation,845.92,Debit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-04-11,Bills,Electricity,1436.22,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-06-09,Health,Gym membership,366.26,Credit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-01-19,Rent,Apartment rent,9261.39,Debit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-01-15,Travel,Fuel,580.08,Credit Card,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-02-16,Miscellaneous,Donation,470.37,Debit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-01-11,Food,Grocery store,519.65,Wallet,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-06-06,Food,Lunch,460.74,Wallet,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-03-30,Travel,Taxi,468.9,Debit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-02-25,Rent,Apartment rent,11988.37,Debit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-06-10,Utilities,Mobile recharge,1828.0,Wallet,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-02-20,Miscellaneous,Donation,612.39,UPI,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-04-01,Utilities,Mobile recharge,1119.93,Credit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-03-31,Utilities,Electricity bill,1540.0,Wallet,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-06-19,Food,Grocery store,564.52,UPI,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-01-09,Shopping,Gift,1571.54,UPI,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-05-21,Travel,Bus ticket,312.66,Credit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-05-01,Shopping,Gift,2141.41,UPI,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-01-24,Entertainment,Movie,1575.12,Debit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-06-05,Travel,Metro ride,609.79,Credit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-02-03,Food,Lunch,391.86,Debit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-01-22,Rent,Office rent,8824.0,Debit Card,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-02-27,Entertainment,Concert,1231.58,Debit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-04-12,Food,Restaurant,247.87,Wallet,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-05-25,Bills,Electricity,1095.44,Debit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-05-18,Utilities,Water bill,1428.09,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-02-12,Food,Coffee shop,295.97,UPI,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-05-16,Miscellaneous,Other expense,529.79,Debit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-05-29,Health,Health checkup,815.01,Credit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-02-26,Rent,Home rent,13051.26,UPI,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-06-25,Travel,Bus ticket,410.44,Credit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-04-02,Food,Lunch,367.91,Debit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-02-10,Rent,Apartment rent,10501.66,Cash,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-03-23,Travel,Taxi,535.36,Wallet,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-04-20,Bills,Cable,1665.77,Credit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-03-14,Rent,Apartment rent,16699.27,UPI,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-06-01,Shopping,Clothes,2567.15,Cash,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-01-26,Bills,Cable,1425.77,Wallet,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-02-06,Rent,Apartment rent,13526.94,Debit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-06-14,Entertainment,Concert,1501.71,Cash,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-06-21,Miscellaneous,Stationery,1177.56,Credit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-02-20,Shopping,Electronics,1868.94,Credit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-05-08,Shopping,Electronics,2566.36,Cash,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-03-04,Health,Gym membership,882.59,Debit Card,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-01-20,Rent,Apartment rent,14566.49,Wallet,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-02-21,Bills,Electricity,979.12,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-06-23,Miscellaneous,Other expense,316.49,Debit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-06-10,Utilities,Mobile recharge,2109.28,Cash,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-05-23,Shopping,Gift,1770.59,Cash,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-06-25,Entertainment,Concert,592.01,UPI,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-04-20,Bills,Electricity,1636.53,Wallet,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-01-23,Utilities,Water bill,1979.71,Credit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-01-16,Rent,Home rent,15312.04,Credit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-03-29,Shopping,Gift,637.31,Wallet,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-01-15,Utilities,Electricity bill,1399.9,Credit Card,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-04-04,Food,Grocery store,627.87,Credit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-03-17,Miscellaneous,Donation,735.33,Cash,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-01-27,Rent,Home rent,16743.29,Cash,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-01-27,Rent,Home rent,11213.74,UPI,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-01-21,Rent,Home rent,15301.87,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-01-17,Rent,Office rent,7279.6,UPI,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-05-22,Rent,Apartment rent,9254.97,Debit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-02-10,Utilities,Water bill,1047.94,Cash,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-03-12,Rent,Home rent,12828.3,Wallet,Expense,Local Store,Synthetic sample data for expense tracking analysis.
